Mission ID,Mission Path,Success (PRED),Domain,Total Goals,Type quantity,Success (PLAN),CPU time,Total time,Total Distance
62,"Go to picture ['base_1', 'region_2'] 355.083
Take Image ['region_2'] 285.714
Go to picture ['region_2', 'region_1'] 608.543
Take Image ['region_1'] 285.714
Go to base ['region_1', 'base_2'] 622.434
",0,journal,3,2,1,0.04,2158.4880000000003,7554.7080000000005
63,"Go to picture ['base_1', 'region_2'] 355.083
Take Image ['region_2'] 285.714
Go to picture ['region_2', 'region_1'] 608.543
Take Image ['region_1'] 285.714
Go to base ['region_1', 'base_3'] 1174.531
",0,journal,3,2,1,0.04,2710585,9487.0475
64,"Go to picture ['base_1', 'region_1'] 617.866
Take Image ['region_1'] 285.714
Go to picture ['region_1', 'region_2'] 608.543
Take Image ['region_2'] 285.714
Go to base ['region_2', 'base_4'] 240.677
",0,journal,3,2,1,0.02,2039514,7138299
65,"Go to picture ['base_1', 'region_3'] 653.494
Take Image ['region_3'] 285.714
Go to picture ['region_3', 'region_1'] 458.589
Take Image ['region_1'] 285.714
",1,journal,2,1,1,0.04,1683511,5892.2885
66,"Go to picture ['base_1', 'region_3'] 653.494
Take Image ['region_3'] 285.714
Go to picture ['region_3', 'region_1'] 458.589
Take Image ['region_1'] 285.714
Go to base ['region_1', 'base_1'] 617.866
",0,journal,3,2,1,0.02,2302377,8058.3195
67,"Go to picture ['base_1', 'region_3'] 653.494
Take Image ['region_3'] 285.714
Go to picture ['region_3', 'region_1'] 458.589
Take Image ['region_1'] 285.714
Go to base ['region_1', 'base_2'] 622.434
",0,journal,3,2,1,0.04,2306.9449999999997,8074.307499999999
68,"Go to picture ['base_1', 'region_3'] 653.494
Take Image ['region_3'] 285.714
Go to picture ['region_3', 'region_1'] 458.589
Take Image ['region_1'] 285.714
Go to base ['region_1', 'base_3'] 1174.531
",0,journal,3,2,1,0.04,2859042,10006.646999999999
69,"Go to picture ['base_1', 'region_1'] 617.866
Take Image ['region_1'] 285.714
Go to picture ['region_1', 'region_3'] 458.589
Take Image ['region_3'] 285.714
Go to base ['region_3', 'base_4'] 212.943
",1,journal,3,2,1,0.04,1861.8259999999998,6516391
70,"Go to picture ['base_1', 'region_4'] 993.089
Take Image ['region_4'] 285.714
Go to picture ['region_4', 'region_1'] 584.891
Take Image ['region_1'] 285.714
",0,journal,2,1,1,0.04,2149408,7522928
71,"Go to picture ['base_1', 'region_4'] 993.089
Take Image ['region_4'] 285.714
Go to picture ['region_4', 'region_1'] 584.891
Take Image ['region_1'] 285.714
Go to base ['region_1', 'base_1'] 617.866
",0,journal,3,2,1,0.04,2768274,9688.958999999999
72,"Go to picture ['base_1', 'region_4'] 993.089
Take Image ['region_4'] 285.714
Go to picture ['region_4', 'region_1'] 584.891
Take Image ['region_1'] 285.714
Go to base ['region_1', 'base_2'] 622.434
",0,journal,3,2,1,0.04,2772.8419999999996,9704.946999999998
73,"Go to picture ['base_1', 'region_4'] 993.089
Take Image ['region_4'] 285.714
Go to picture ['region_4', 'region_1'] 584.891
Take Image ['region_1'] 285.714
Go to base ['region_1', 'base_3'] 1174.531
",0,journal,3,2,1,0.02,3324939,11637.2865
74,"Go to picture ['base_1', 'region_1'] 617.866
Take Image ['region_1'] 285.714
Go to picture ['region_1', 'region_4'] 584.891
Take Image ['region_4'] 285.714
Go to base ['region_4', 'base_4'] 549.106
",0,journal,3,2,1,0.04,2324291,8135.0185
75,"Go to picture ['base_1', 'region_5'] 535.660
Take Image ['region_5'] 285.714
Go to picture ['region_5', 'region_1'] 844.311
Take Image ['region_1'] 285.714
",1,journal,2,1,1,0.02,1951399,6829.8965
76,"Go to picture ['base_1', 'region_5'] 535.660
Take Image ['region_5'] 285.714
Go to picture ['region_5', 'region_1'] 844.311
Take Image ['region_1'] 285.714
Go to base ['region_1', 'base_1'] 617.866
",0,journal,3,2,1,0.02,2570265,8995.9275
77,"Go to picture ['base_1', 'region_5'] 535.660
Take Image ['region_5'] 285.714
Go to picture ['region_5', 'region_1'] 844.311
Take Image ['region_1'] 285.714
Go to base ['region_1', 'base_2'] 622.434
",0,journal,3,2,1,0.02,2574.8329999999996,9011.9155
78,"Go to picture ['base_1', 'region_5'] 535.660
Take Image ['region_5'] 285.714
Go to picture ['region_5', 'region_1'] 844.311
Take Image ['region_1'] 285.714
Go to base ['region_1', 'base_3'] 1174.531
",0,journal,3,2,1,0.04,3126.93,10944255
79,"Go to picture ['base_1', 'region_1'] 617.866
Take Image ['region_1'] 285.714
Go to picture ['region_1', 'region_5'] 844.311
Take Image ['region_5'] 285.714
Go to base ['region_5', 'base_4'] 319.414
",0,journal,3,2,1,0.04,2354.0190000000002,8239.0665
80,"Go to picture ['base_1', 'region_6'] 441.054
Take Image ['region_6'] 285.714
Go to picture ['region_6', 'region_1'] 668.243
Take Image ['region_1'] 285.714
",1,journal,2,1,1,0.02,1680725,5882.537499999999
81,"Go to picture ['base_1', 'region_6'] 441.054
Take Image ['region_6'] 285.714
Go to picture ['region_6', 'region_1'] 668.243
Take Image ['region_1'] 285.714
Go to base ['region_1', 'base_1'] 617.866
",0,journal,3,2,1,0.04,2299591,8048.568499999999
